FLIGHT_NUMBER,ORIGHIN,DEST,DATE,DEP_TIME,ARR_TIME,STOPS,ORIGHIN,DAYS_OF_OP,EFF_FROM,EFF_TO,TRANSIT_TIME,DISTANCE,ON_TIME
EI 8817 *,LHR,JFK,09/04/19,08:25,11:05,0,777,12-45--,27/03/19,25/10/19,07:40,5559 Km,-
AA 6138 *,LHR,JFK,09/04/19,08:25,11:05,0,744,12-45--,08/04/19,25/10/19,07:40,5559 Km,-
BA 117,LHR,JFK,09/04/19,08:25,11:05,0,744,12-45--,27/03/19,25/10/19,07:40,5559 Km,-
AY 5517 *,LHR,JFK,09/04/19,08:25,11:05,0,744,12-45--,08/04/19,25/10/19,07:40,5559 Km,-
IB 7355 *,LHR,JFK,09/04/19,08:25,11:05,0,744,12-45--,27/03/19,25/10/19,07:40,5559 Km,-
AF 6752 *,LHR,JFK,09/04/19,09:00,11:55,0,333,1234567,27/03/19,20/04/19,07:55,5559 Km,-
DL 4370 *,LHR,JFK,09/04/19,09:00,11:55,0,333,1234567,27/03/19,15/04/19,07:55,5559 Km,-
9W 5808 *,LHR,JFK,09/04/19,09:00,11:55,0,333,1234567,27/03/19,20/04/19,07:55,5559 Km,-
KL 4820 *,LHR,JFK,09/04/19,09:00,11:55,0,333,1234567,27/03/19,20/04/19,07:55,5559 Km,-
SQ 2503 *,LHR,JFK,09/04/19,09:00,11:55,0,333,1234567,27/03/19,20/04/19,07:55,5559 Km,-
VS 003,LHR,JFK,09/04/19,09:00,11:55,0,333,1234567,27/03/19,15/04/19,07:55,5559 Km,-
EI 8875 *,LHR,JFK,09/04/19,09:35,12:25,0,777,1234567,27/03/19,26/10/19,07:50,5559 Km,-
AA 6140 *,LHR,JFK,09/04/19,09:35,12:25,0,744,12-4567,27/03/19,07/05/19,07:50,5559 Km,-
BA 175,LHR,JFK,09/04/19,09:35,12:25,0,744,12-456-,27/03/19,13/04/19,07:50,5559 Km,-
AY 5475 *,LHR,JFK,09/04/19,09:35,12:25,0,744,12-4567,27/03/19,07/05/19,07:50,5559 Km,-
IB 7374 *,LHR,JFK,09/04/19,09:35,12:25,0,744,12-4567,27/03/19,07/05/19,07:50,5559 Km,-
AA 101,LHR,JFK,09/04/19,09:45,12:45,0,772,1234567,27/03/19,02/05/19,08:00,5559 Km,-
BA 1516 *,LHR,JFK,09/04/19,09:45,12:45,0,772,1234567,27/03/19,02/05/19,08:00,5559 Km,-
LY 8066 *,LHR,JFK,09/04/19,09:45,12:45,0,772,1234567,27/03/19,02/05/19,08:00,5559 Km,-
AY 4011 *,LHR,JFK,09/04/19,09:45,12:45,0,772,1234567,27/03/19,02/05/19,08:00,5559 Km,-
IB 4219 *,LHR,JFK,09/04/19,09:45,12:45,0,772,1234567,27/03/19,02/05/19,08:00,5559 Km,-
AF 3666 *,LHR,JFK,09/04/19,10:30,13:30,0,332,1234567,27/03/19,01/05/19,08:00,5559 Km,-
DL 2,LHR,JFK,09/04/19,10:30,13:30,0,332,1234567,27/03/19,01/05/19,08:00,5559 Km,-
9W 8076 *,LHR,JFK,09/04/19,10:30,13:30,0,332,1234567,27/03/19,01/05/19,08:00,5559 Km,-
KL 6102 *,LHR,JFK,09/04/19,10:30,13:30,0,332,1234567,27/03/19,01/05/19,08:00,5559 Km,-
VS 4031 *,LHR,JFK,09/04/19,10:30,13:30,0,332,1234567,27/03/19,01/05/19,08:00,5559 Km,-
EI 8873 *,LHR,JFK,09/04/19,11:20,14:05,0,777,1234567,27/03/19,26/10/19,07:45,5559 Km,-
AA 6214 *,LHR,JFK,09/04/19,11:20,14:05,0,777,-2--56-,27/03/19,04/05/19,07:45,5559 Km,-
BA 173,LHR,JFK,09/04/19,11:20,14:05,0,777,-2--56-,27/03/19,04/05/19,07:45,5559 Km,-
AY 5473 *,LHR,JFK,09/04/19,11:20,14:05,0,777,-2--56-,27/03/19,04/05/19,07:45,5559 Km,-
IB 7372 *,LHR,JFK,09/04/19,11:20,14:05,0,777,-2--56-,27/03/19,04/05/19,07:45,5559 Km,-
AF 9916 *,LHR,JFK,09/04/19,11:50,14:50,0,346,12-45--,27/03/19,16/04/19,08:00,5559 Km,-
DL 4413 *,LHR,JFK,09/04/19,11:50,14:50,0,346,12-45--,08/04/19,16/04/19,08:00,5559 Km,-
9W 5810 *,LHR,JFK,09/04/19,11:50,14:50,0,346,12-45--,08/04/19,16/04/19,08:00,5559 Km,-
KL 4821 *,LHR,JFK,09/04/19,11:50,14:50,0,346,12-45--,27/03/19,16/04/19,08:00,5559 Km,-
SQ 2587 *,LHR,JFK,09/04/19,11:50,14:50,0,346,12-45--,27/03/19,16/04/19,08:00,5559 Km,-
